"62584d1","Sebastien Lambla","Sun, 5 Mar 2017 21:27:39 +0100","removes wrong push",	 2 files changed, 1 insertion(+), 2 deletions(-)	
"bb73349","Sebastien Lambla","Sun, 5 Mar 2017 21:14:40 +0100","Supports adding fx asm for .net 4.5 target",	 1 file changed, 34 insertions(+), 25 deletions(-)	
"a1e0c13","Sebastien Lambla","Sun, 5 Mar 2017 20:52:02 +0100","More line endings",	 2 files changed, 4 insertions(+), 2 deletions(-)	
"eb0d6d0","Sebastien Lambla","Sun, 5 Mar 2017 20:14:04 +0100","Whitespace handling",	 28 files changed, 925 insertions(+), 879 deletions(-)	
"f2ee61b","Sebastien Lambla","Sun, 5 Mar 2017 18:37:05 +0100","Build and changelog for release",	 3 files changed, 24 insertions(+), 6 deletions(-)	
"97c85e0","Sebastien Lambla","Sun, 5 Mar 2017 18:20:48 +0100","Check only if cancellation was requested, not which token",	 1 file changed, 2 insertions(+), 2 deletions(-)	
"d96d757","Sebastien Lambla","Sun, 5 Mar 2017 18:09:27 +0100","Verifies same index is valid",	 5 files changed, 65 insertions(+), 8 deletions(-)	
"d1bc570","Sebastien Lambla","Sun, 5 Mar 2017 17:36:33 +0100","pluggable backoff",	 8 files changed, 97 insertions(+), 44 deletions(-)	
"54c17d2","Sebastien Lambla","Sun, 5 Mar 2017 16:58:46 +0100","Verifies cancellation at various stages",	 3 files changed, 28 insertions(+), 20 deletions(-)	
"4665340","Sebastien Lambla","Sun, 5 Mar 2017 16:34:21 +0100","Backing off now works",	 4 files changed, 82 insertions(+), 53 deletions(-)	
"9c4bb05","Sebastien Lambla","Sun, 5 Mar 2017 15:57:40 +0100","Address sonarqube warnings",	 4 files changed, 9 insertions(+), 9 deletions(-)	
"c47c70b","Sebastien Lambla","Sun, 5 Mar 2017 15:38:50 +0100","branch sent to sonarqube",	 1 file changed, 13 insertions(+), 1 deletion(-)	
"65386a5","Sebastien Lambla","Sun, 5 Mar 2017 14:59:32 +0100","nuget-specific version",	 3 files changed, 15 insertions(+), 7 deletions(-)	
"b0760d0","Sebastien Lambla","Sun, 5 Mar 2017 14:31:02 +0100","trying token replacement",	 2 files changed, 2 insertions(+), 2 deletions(-)	
"03dfc13","Sebastien Lambla","Fri, 3 Mar 2017 10:09:10 +0100","Remove http connection",	 1 file changed, 14 insertions(+), 13 deletions(-)	
"087eb88","Sebastien Lambla","Wed, 1 Mar 2017 11:49:14 +0100","Adds build version to sonarqube",	 2 files changed, 2 insertions(+), 1 deletion(-)	
"8a4bbd4","Sebastien Lambla","Wed, 1 Mar 2017 10:23:55 +0100","Adds test results and coverage to sonarqube",	 4 files changed, 3 insertions(+), 36 deletions(-)	
"393e2ab","Sebastien Lambla","Wed, 1 Mar 2017 10:12:04 +0100","Introduces Test project",	 23 files changed, 258 insertions(+), 89 deletions(-)	
